zip,lat,lon
47236,39.15174268537406,-85.72527704263413
47870,39.37015178732816,-87.47351412523362
47851,39.573583864065135,-87.24595586964246
47337,39.802753722138696,-85.43728504626924
47435,39.26575573016926,-86.29515765758302
47514,38.14860299980588,-86.59401336905147
46045,40.289609700234706,-86.1486592386472
46206,39.76026680542038,-86.16107108903292
46704,41.10366022404938,-85.29214175165276
47585,38.26786644916579,-87.16617534732032
46534,41.285596707607574,-86.61877952441486
46127,39.717667168607285,-85.31583350941638
47660,38.29712389043493,-87.33191492434271
47597,38.64753020956251,-87.2980306553569
47424,39.01915868483546,-86.86997044171035
47519,38.597611305306415,-86.9879229551388
46235,39.837810316538516,-85.97653360937713
46118,39.65319687693405,-86.52394790067589
46224,39.79546017894776,-86.25621102878387
46256,39.90683668248156,-86.0114959356422
47948,40.77639514321547,-87.28678480500031
47951,40.79049677701614,-87.44351561527937
46254,39.84799051214577,-86.26937023205568
46077,39.98280820190265,-86.2834660570196
47575,38.323215062821546,-86.81130870057301
46910,41.045357756697534,-86.04150006488662
47432,38.49267898024299,-86.63941798988263
46120,39.51252343583649,-86.7870644674246
47841,39.27763815105256,-87.11493884473805
46552,41.707331511613695,-86.48505696467224
47633,38.168358657964625,-87.7873634636037
47631,38.1007890368344,-87.90975474327117
47620,37.93282564447842,-87.90560181837728
47616,38.23491708338467,-87.91037969903681
46759,40.5985335942838,-85.18305539643912
47438,39.15820229759999,-87.18235472884741
46731,40.797536614921135,-85.10270347788132
47404,39.22064688195683,-86.58959206533225
46970,40.758284430726675,-86.06136682863148
47584,38.251100416759805,-87.25789646593938
46761,41.63575781598236,-85.37126494395054
46571,41.56797873009697,-85.54666348571831
47283,39.16979184198034,-85.58649640712005
46750,40.87676474164631,-85.49675573006739
46590,41.21607028303589,-85.8086299363617
46368,41.58933747066039,-87.17889700891993
47371,40.41872603647886,-84.95885880556901
47421,38.864171312775134,-86.45126725188409
46143,39.59484462580345,-86.11320143028193
47234,39.37608402584022,-85.76841703290737
47380,40.28554767787921,-85.0344469262881
46071,40.11941378298738,-86.60544943420062
47138,38.68216377926375,-85.59759341161751
46510,41.12065620217065,-85.8740112936967
47336,40.39691257332679,-85.20815659492818
47227,38.87505106214187,-85.65672926416404
47170,38.687354170392965,-85.84666335525858
47282,38.985368222914396,-85.61003392259022
47959,40.86603663439701,-86.89782414461908
46130,39.674637713481076,-85.83569072216761
47982,40.19726196865565,-87.52688963084728
47320,40.278690834582,-85.26720056824531
47991,40.28035291595521,-87.44796206119923
47038,38.84588567960153,-84.842095093172
47374,39.83376407103983,-84.89001162790788
46920,40.464584469764986,-86.49504543720538
46985,40.95485185920499,-86.58222146617071
47994,40.18233088778645,-87.0823111593409
47955,40.195402370861316,-86.86516949489413
47957,41.08936067929747,-86.87719090861232
47172,38.39747863046703,-85.76886068398103
40291,38.127479630890264,-85.5782482893515
42081,37.228234410802045,-88.40273538440596
42003,37.006548841890705,-88.58475260223668
40509,37.99403443274174,-84.36788586972038
40071,38.04328314475399,-85.37070410903998
41005,39.00706909605251,-84.7653976667778
40215,38.19052387155563,-85.78557605283417
41169,38.52232486671881,-82.71311131470286
41063,38.85324447193263,-84.49984481793098
40025,38.30139156805592,-85.65194191500679
40511,38.13277029619203,-84.47394405766985
42701,37.70500746094052,-85.83881577077939
40502,38.01371604197583,-84.4818815811497
42301,37.73981594836632,-87.24640627482634
42049,36.51881156715292,-88.31853119912154
40003,38.268631277468494,-85.04368804019533
40212,38.26792225611754,-85.80251913276865
42171,37.03611496674325,-86.1672922206851
42370,37.449976791830885,-86.7411295082782
41049,38.2746484312202,-83.64583441661965
40336,37.683556970294475,-83.98323632356781
41006,38.784728220037344,-84.34295799666995
42603,36.778775479280206,-85.010878726873
42347,37.524143999682344,-86.88713874087989
42079,36.559909880094054,-88.57616986433725
42088,36.61805812633114,-88.75408720330198
40374,38.21420608437628,-83.90356631939488
42170,36.846758058388346,-86.57458959255501
40769,36.71159888090946,-84.17285755740014
41179,38.52484660819996,-83.38987426236585
41040,38.652319622459736,-84.33190231250472
42743,37.22958051196056,-85.5317480151971
40468,37.651619239881185,-84.98782396242412
42518,36.92530820681774,-84.64262601549102
42273,37.201278165331566,-86.85914187550209
42038,37.04128294660059,-88.0235715227653
40902,36.848237425702614,-83.62433437086615
